node_id,index,UniProt
9606.ENSP00000255082,687,Q96HD9
9606.ENSP00000255108,688,Q9BQC3
9606.ENSP00000255192,689,Q9H2M3
9606.ENSP00000255224,690,Q9H2B2
9606.ENSP00000255390,691,O75880
9606.ENSP00000255409,692,P36222
9606.ENSP00000255416,693,Q13203
9606.ENSP00000255465,694,P78396
9606.ENSP00000255476,695,O00287
9606.ENSP00000255499,696,Q8TEB7
9606.ENSP00000255613,697,Q86Y97
9606.ENSP00000255631,698,Q9NZL4
9606.ENSP00000255641,699,P78368
9606.ENSP00000255681,700,Q9BQ69
9606.ENSP00000255688,701,Q9UL19
9606.ENSP00000255764,702,Q9BTT4
9606.ENSP00000256010,703,P30990
9606.ENSP00000256015,704,P62324
9606.ENSP00000256078,705,P01116
9606.ENSP00000256103,706,P02689
9606.ENSP00000256104,707,P15090
9606.ENSP00000256151,708,Q9P031
9606.ENSP00000256178,709,Q9Y5Y7
9606.ENSP00000256196,710,P62070
9606.ENSP00000256366,711,P57105
9606.ENSP00000256383,712,P05198
9606.ENSP00000256442,713,P14635
9606.ENSP00000256460,714,Q14012
9606.ENSP00000256474,715,P40337
9606.ENSP00000256509,716,O00533
9606.ENSP00000256593,717,P46439
9606.ENSP00000256637,718,Q99523
9606.ENSP00000256646,719,Q04721
9606.ENSP00000256682,720,P61204
9606.ENSP00000256759,721,P19883
