protein1,protein2
P49427,P0CG47
P49427,Q712K3
P49427,A0AVT1
P49427,P41226
P49427,Q9Y2D1
P49427,Q13309
P49427,Q15843
P49427,Q9GZT9
P49427,Q96J02
P49427,Q8TBC4
P49427,P67870
P49427,P25963
P49427,Q13618
P49427,P61081
P49427,Q13404
Q13477,P14151
Q13477,P26010
Q13477,O15444
Q13477,Q96AB6
Q13477,P19320
Q13477,P05362
Q13477,P78318
Q13477,P16581
Q13477,P01732
Q13477,P01730
Q13477,O00585
Q13477,P05107
Q13477,Q14242
Q13477,P16109
Q13477,P36941
Q13477,P04183
P53778,P52564
P53778,P49137
P53778,P05412
P53778,P46734
P53778,Q16644
P53778,Q8IW41
P53778,Q02750
P53778,P36507
P53778,P60953
P53778,P04637
P53778,Q9H257
P53778,P31749
P53778,P35236
P53778,Q15256
P53778,P30305
P53778,Q9UBK2
P53778,P51452
P53778,P45985
P53778,O43524
P53778,Q12778
P05546,P00734
P05546,P02679
P05546,P00747
P05546,P02675
P05546,P10646
P05546,P04196
P05546,P01008
P05546,P00742
P05546,P05160
P05546,Q14520
P05546,P02749
P05546,P13726
P05546,P07225
P05546,P01042
P05546,P01023
P05546,Q96IY4
P05546,P04004
P05546,P04070
P05546,P08709
P05546,P03951
O95721,P56962
O95721,P51809
O95721,Q9BV40
O95721,O15400
O95721,O43752
O95721,Q12846
O95721,O00161
O95721,Q13277
O95721,Q86Y82
O95721,Q16623
O95721,P63027
O95721,Q15836
O95721,Q9H4M9
O95721,P54920
O95721,Q9UNK0
O95721,O75379
O95721,P60880
O95721,Q96AJ9
O95721,O95219
O95721,Q9P2W9
P14174,P04233
P14174,Q92905
P14174,P00505
P14174,P17174
P14174,P17735
P14174,P32754
P14174,Q96RQ9
P14174,P16070
P14174,P13500
P14174,P08729
P14174,P13501
P14174,P00441
P14174,P48061
P14174,P15531
P14174,P04637
P14174,Q99497
P14174,P05231
P13725,Q99650
P13725,P42702
P13725,P40189
P13725,P15018
P13725,P05231
P13725,P20809
P13725,Q16619
P13725,Q8NI17
P13725,O60674
P13725,P40763
P13725,P26441
P13725,P26992
P13725,Q14626
P13725,P14210
P13725,P08887
P13725,Q6EBC2
P13725,Q6UWB1
P13725,P19235
P13725,P31785
P13725,P48357
P62318,P62308
P62318,Q9Y4Z0
P62318,P09661
P62318,Q9UMS4
P62318,P62316
P62318,P09012
P62318,P62306
P62318,P62310
P62318,P41223
P62318,P09234
P62318,P62304
P62318,O94906
P62318,P08579
P62318,P55769
P62318,P83876
P62318,P55081
P62318,Q9NW64
P62318,Q9BUQ8
P62318,Q15427
P62318,Q14562
P28482,Q02750
P28482,Q15418
P28482,P36507
P28482,Q9BUB5
P28482,P35236
P28482,Q15121
P28482,P04637
P28482,P05412
P28482,Q15256
P28482,Q16828
P28482,P40763
P28482,Q16539
P28482,P27361
P28482,P19419
P28482,P51812
P28482,P49407
P28482,P31749
P28482,P01116
P28482,Q16665
P28482,P01106
P20062,Q9NPF0
P20062,P22681
P20062,P02788
P20062,P98164
P20062,P00374
P20062,Q9BXJ7
P20062,P00568
P20062,O60494
P26998,P02489
P26998,Q8NFS9
P26998,P48165
P26998,P49815
P53007,O75390
P53007,P53396
P53007,Q96DF8
P53007,P56282
P53007,P98153
P53007,P28799
P53007,Q9Y295
P53007,Q8WUR7
P53007,O15499
P53007,Q00610
P53007,Q92890
P05162,P01374
P05162,P22466
P05162,P22234
P05162,Q9P2D1
P05162,Q05315
Q96GD0,O00764
Q96GD0,Q9NVS9
Q96GD0,Q8TCD6
Q96GD0,Q9Y281
Q96GD0,P23528
Q96GD0,P53667
P09382,P08670
P09382,P02751
P09382,Q08380
P09382,P07355
P09382,P01112
P09382,P01242
P09382,P26447
P09382,P17931
P09382,P51884
Q8N3F8,Q9H4M9
Q8N3F8,Q9NZN3
Q8N3F8,Q9UNF0
Q8N3F8,Q7L2H7
Q8N3F8,Q15286
Q8N3F8,P51153
Q8N3F8,Q9H223
Q8N3F8,P55884
Q8N3F8,P23396
Q8N3F8,Q14511
Q14565,Q06609
Q14565,Q9P2W1
Q8IWL3,P38646
Q8IWL3,Q9H1K1
Q8IWL3,Q86SX6
Q8IWL3,A6NFY7
Q8IWL3,Q9UMS0
Q8IWL3,Q9HAV7
Q8IWL3,Q96DA6
Q8IWL3,Q16595
Q8IWL3,P13804
Q8IWL3,P21912
Q8IWL3,P02689
Q8IWL3,Q6P4F2
Q8IWL3,P35222
P17861,P18850
P17861,O75460
P17861,P35638
P17861,Q16665
P17861,P11021
P17861,Q9UBS3
P17861,Q9Y4L1
P17861,P20226
P17861,P60468
P17861,P62380
P17861,Q99941
P17861,Q15084
P17861,Q12778
P17861,P27824
P17861,Q9UBS4
P17861,P61247
P17861,P14625
P17861,O75626
P17861,Q06210
P17861,P05198
Q15040,P54252
Q15040,P0CG48
Q15040,Q92905
Q15040,O94782
Q15040,P54727
Q15040,P55072
Q9UGB7,P14550
Q9UGB7,P29218
Q9UGB7,O14732
Q9UGB7,Q9Y4X1
Q9UGB7,P22309
Q9UGB7,P19224
Q9UGB7,Q9HAW9
Q9UGB7,P54855
Q9UGB7,O60218
Q9UGB7,Q7Z4H4
Q9UGB7,Q9UEF7
Q9UGB7,P08236
Q9UGB7,P15121
Q13323,Q07817
Q13323,P10415
Q13323,Q92843
Q13323,Q07820
Q13323,O00198
Q13323,O43521
Q13323,Q96LC9
Q13323,Q16548
Q13323,Q9HD36
P09601,P53004
P09601,Q16236
P09601,P16435
P09601,P30043
P09601,P00450
P09601,Q16595
P09601,Q9BQS7
P09601,Q14145
P09601,P15559
P09601,P30519
P09601,P48507
P09601,P53701
P09601,Q08257
P09601,P05112
P09601,O14867
P09601,Q9H3M7
P09601,P10415
P09601,P35225
P09601,P18283
P09601,P40763
P15289,P06280
P15289,Q8NBK3
P15289,P15848
P15289,Q99519
P15289,P07602
P15289,P08236
P15289,P34059
P15289,Q13510
P15289,P00387
P15289,Q8NBJ7
P15289,P35475
P15289,P16278
P15289,P17405
Q14166,P68104
Q14166,P25685
Q14166,Q8WVE0
O95931,P35226
O95931,Q15910
O95931,Q92769
O95931,Q14781
O95931,P68431
O95931,O75530
O95931,Q09028
O95931,Q92560
O95931,Q8N488
O95931,Q92833
O95931,P42772
P50502,P11142
P50502,P07900
P50502,P08238
P50502,P25685
P50502,Q99933
P50502,"ENSP
9606.ENSP00000364801    P0DMV8
9606.ENSP00000364801    P0DMV9
Name: UniProt, dtype: object"
P50502,O95817
P50502,P51668
P14784,P60568
P14784,P31785
P14784,Q13261
P14784,P01589
P14784,P40933
P14784,P42229
P14784,P51692
P14784,P13232
P14784,O60674
P14784,P01579
P14784,P22301
P14784,P01732
P14784,P20963
P14784,P05112
P14784,P10144
P14784,P61586
P14784,P12544
P14784,P16871
P14784,P01730
P14784,P06239
Q969R5,Q13185
Q969R5,P61964
Q969R5,Q8N488
Q969R5,Q8IWI9
Q969R5,P61244
Q969R5,Q92769
Q969R5,P24158
Q969R5,P10242
Q969R5,P83916
Q92871,P34949
Q92871,Q96IJ6
Q92871,O15305
Q92871,P52789
Q92871,P19367
Q92871,P52790
Q92871,P06744
Q92871,P04183
Q92871,Q96EC8
Q92871,P19971
Q92871,P20340
Q14112,P98160
Q14112,P14543
Q14112,Q16363
Q14112,O00468
Q14112,P02751
Q00688,Q92769
Q00688,P63098
Q00688,Q00987
Q00688,P25490
P08311,P08246
P08311,P05164
P08311,P24158
P08311,P02788
P08311,P14780
P08311,P01011
P08311,P20160
P08311,P48594
P08311,P49913
P08311,P17213
P08311,P29508
P08311,Q9UIV8
P08311,P50453
P08311,P01019
P08311,P12724
P08311,P03973
P08311,P61626
P08311,P30740
P08311,P01009
P08311,P17538
P20718,P22749
P20718,P01732
P20718,P49863
P20718,P12544
P20718,P13501
P20718,P10144
P20718,P06729
P20718,P01019
P20718,P48023
P20718,P18627
P20718,Q15744
P20718,O76096
P20718,Q12918
P20718,P51124
P10144,P22749
P10144,P42574
P10144,O00273
P10144,P55957
P10144,P10124
P10144,P29353
P10144,P01732
P10144,Q14790
P10144,P50453
P10144,P01579
P10144,P09874
P10144,P55210
P10144,P48023
P10144,P01730
P10144,Q07820
P10144,P18627
P10144,P20700
P10144,Q03252
P10144,P14784
P10144,P12544
O43405,Q96PL2
O43405,Q8NFX7
P56282,Q9NRF9
P56282,Q14691
P56282,Q14566
P56282,P49642
P56282,Q9BVW5
P56282,Q9UNS1
P56282,P35249
P56282,Q9UI95
P56282,O75575
P56282,P39748
P56282,Q9Y295
P56282,P53007
P56282,O75390
P56282,Q8WUR7
P56282,P28799
P56282,Q06609
P56282,Q9Y5N6
P56282,Q9HCU8
P56282,Q15004
P56282,P12004
P06737,Q16851
P06737,P11216
P06737,P04746
P06737,P19961
P06737,P04745
P06737,Q96G03
P06737,O15488
P06737,P36871
P06737,O14638
P06737,P46020
P06737,Q15124
P06737,P00480
P06737,P06744
P06737,P35557
P06737,O95479
P06737,P02144
P06737,P01308
P06737,P08237
P06737,Q08623
P06737,P13929
Q96EK6,Q06210
Q96EK6,O94808
Q96EK6,Q9UJ70
Q96EK6,P46926
Q96EK6,P19367
Q96EK6,P52790
Q96EK6,P52789
Q96EK6,Q16222
Q96EK6,P21695
Q96EK6,Q14376
P25788,P49720
P25788,P28065
P25788,P49721
P25788,P25789
P25788,P28066
P25788,P51665
P25788,P20618
P25788,P60900
P25788,P25786
P25788,P28072
P25788,P28070
P25788,P28074
P25788,Q15008
P25788,Q99436
P25788,P40306
P25788,P25787
P25788,O14818
P25788,P55036
P25788,P17980
P25788,O00231
O95433,P08238
O95433,P07900
O95433,P31948
O95433,Q15185
O95433,Q02790
O95433,Q16543
O95433,Q08752
O95433,P11142
O95433,P14625
O95433,P25685
O95433,P13569
O95433,P61604
O95433,Q9H3U1
O95433,Q13427
O95433,Q96SB4
O95433,P10809
O95433,Q9UDY4
O95433,Q9NZL4
O95433,P11021
O95433,Q9HB71
O15270,O15269
O15270,Q06136
O15270,Q7Z5G4
O15270,P21549
O15270,P34896
O15270,P34897
O15270,P35520
O15270,Q96GA7
O15270,P78330
O15270,P17405
O15270,Q9NYA1
O15270,Q9NRA0
O15270,Q13510
O15270,Q8N5B7
O15270,Q9NR71
P10645,P05060
P10645,Q8WXD2
P10645,P09104
P10645,P61278
P10645,P16870
P10645,P01275
P10645,P13591
P10645,P05408
P10645,P35900
P10645,P01303
P10645,P07492
P10645,P01298
P10645,O75473
P10645,P08729
P10645,P10082
P10645,Q6UX06
P10645,P10997
P55010,P20042
P55010,P41567
P55010,O75821
P55010,P55884
P55010,P05198
P55010,O75822
P55010,P23588
P55010,P60842
P55010,Q04637
P55010,P23396
P55010,Q14240
P55010,P06730
P55010,P61247
P55010,P60866
P55010,P47813
P55010,P62851
P55010,P39019
P55010,P62081
P55010,P46782
P55010,P62263
Q99986,Q16778
Q99986,P0C0S8
Q99986,P04637
P27695,P18887
P27695,P06746
P27695,P39748
P27695,P39687
P27695,O15527
P27695,P10599
P27695,P15531
P27695,Q9UIF7
P27695,P09874
P27695,P13051
P27695,P04637
P27695,Q9UBZ4
P27695,Q96T60
P27695,Q9NUW8
P27695,P67809
P27695,P29372
P27695,P12544
P27695,Q7Z2E3
P27695,P06748
P27695,P12004
Q86U42,Q15717
Q86U42,Q92843
Q86U42,P52298
Q86U42,Q09161
Q86U42,Q13310
Q86U42,P26368
Q86U42,Q9BWT3
Q86U42,Q96DU9
Q86U42,O43809
Q86U42,Q13247
Q86U42,Q16629
Q86U42,Q05048
Q86U42,P09651
Q86U42,Q9H361
Q86U42,Q13148
Q86U42,Q08211
Q86U42,Q99729
Q86U42,Q92620
Q86U42,Q13838
Q86U42,P31943
O43281,P06241
O43281,P42574
O43281,P10415
O43281,P46108
Q9BW66,Q8NB90
Q9BW66,Q92541
Q9BW66,Q08945
Q16822,P11498
Q16822,P40926
Q16822,P06733
Q16822,P13929
Q16822,P30613
Q16822,P09104
Q16822,O75390
Q16822,P53396
Q16822,P14618
Q16822,P35558
Q16822,P00505
Q16822,P10515
Q16822,P11177
Q16822,P00367
Q16822,Q9NR19
Q16822,P49448
Q16822,P17174
Q16822,P51649
Q16822,P29803
Q16822,P04424
P25963,P63208
P25963,Q9Y6K9
P25963,Q15653
P25963,O14920
P25963,P19838
P25963,Q13616
P25963,Q01201
P25963,P62837
P25963,O00221
P25963,P62979
P25963,P01375
P25963,P17612
P25963,P67870
P25963,P51668
P25963,P0CG48
P25963,P0CG47
P25963,P01584
P25963,P49407
P25963,P68400
P25963,P19784
Q9UL46,Q06323
Q9UL46,P25787
Q9UL46,Q99436
Q9UL46,P28066
Q9UL46,P25786
Q9UL46,P28070
Q9UL46,P25788
Q9UL46,P25789
Q9UL46,P28065
Q9UL46,P28074
Q9UL46,P20618
Q9UL46,P60900
Q9UL46,P49720
Q9UL46,P49721
Q9UL46,P40306
Q9UL46,O14818
Q9UL46,P28072
Q9UL46,P01579
Q9UL46,P61289
Q9UL46,P01375
Q5PSV4,O75446
Q5PSV4,Q9UK53
Q5PSV4,Q09028
Q5PSV4,Q92769
Q5PSV4,Q9HAJ7
Q5PSV4,Q9H7L9
Q5PSV4,Q9UBU8
Q5PSV4,O00422
O14965,Q9Y6A5
O14965,P04637
O14965,P53350
O14965,O15392
O14965,Q14511
O14965,O95067
O14965,O00762
O14965,P14635
O14965,O43683
O14965,O95997
O14965,P20248
O14965,P02751
O14965,Q9UBN7
O14965,O14777
O14965,Q13257
O14965,Q02241
O14965,Q96GD4
O14965,P01106
O14965,O43663
O14965,P31350
P11216,Q16851
P11216,P06737
P11216,P04746
P11216,P19961
P11216,P04745
P11216,Q96G03
P11216,O14638
P11216,O15488
P11216,P36871
P11216,Q15124
P11216,P00480
P11216,Q86XI6
P11216,P06744
P11216,P35557
P11216,P46020
P11216,P02144
P11216,O95479
P11216,Q08623
P11216,P08237
P11216,P13929
Q9UNN8,P04070
Q9UNN8,P00742
Q9UNN8,Q96IY1
Q9UNN8,P08709
Q9UNN8,P24158
Q9UNN8,P10646
Q9UNN8,P07225
Q9UNN8,Q14108
Q9UNN8,P16671
Q9UNN8,Q8WTV0
Q9UNN8,P00734
Q9UNN8,Q96IY4
Q9UNN8,P05362
Q9UNN8,P13726
Q9UNN8,P01008
Q05048,Q99728
Q05048,O43809
Q05048,Q86U42
Q05048,Q96MU7
Q05048,Q9BWT3
Q05048,Q9NP77
Q05048,Q8N5P1
Q05048,Q09161
O43399,Q16890
O43399,Q06547
Q9UBR2,P10415
Q9UBR2,Q07817
Q9UBR2,P55957
Q9UBR2,P01019
Q9UBR2,P49257
Q9UBR2,Q99538
Q9UBR2,P07339
Q9UBR2,P15586
Q96CA5,P55210
Q96CA5,P42574
Q96CA5,P62837
Q96CA5,Q9NR28
Q96CA5,P0CG48
Q96CA5,P62979
Q96CA5,P0CG47
Q96CA5,O43464
Q96CA5,Q13490
Q96CA5,O15392
P68400,P67870
P68400,P19784
P68400,O15294
P68400,Q92769
P68400,P60484
P68400,P04637
P68400,O14641
P68400,P04156
P68400,Q08945
P68400,P35222
P68400,P25963
P68400,Q8IVP5
P68400,Q8N488
P68400,P07900
P68400,P35226
P68400,Q09028
P68400,Q96EB6
P68400,Q9UJY5
P68400,Q9H7L9
P68400,P25440
A1Z1Q3,Q9NZU0
A1Z1Q3,Q9NX46
Q2I0M5,Q9BXB1
Q2I0M5,Q9ULT6
Q2I0M5,Q68DV7
Q2I0M5,O75473
Q2I0M5,P09958
Q13424,P56539
Q13424,Q14118
Q13424,Q9Y4J8
Q13424,Q14714
Q13424,Q8IWT1
Q13424,P53778
Q13424,Q13884
Q13424,Q15124
P01178,P01189
P01178,P06850
P01178,P30990
P01178,P01236
P01178,P20366
P01178,P22466
P01178,P01303
P01178,P01148
P01178,P06307
P01178,P01042
P01178,P20396
P01178,P01213
P01178,P01019
P01178,P01275
P01178,P61278
P01178,Q9UBS5
P01178,P01308
P01178,P0C0P6
P01178,Q15726
P01178,P01286
P18428,P08571
P18428,O00206
P18428,P02647
P18428,P05231
P18428,P17213
P18428,P02741
P18428,P00738
P18428,O60603
P18428,P0DJI8
P01036,P01037
P01036,P31025
P01036,P25774
P01036,P09228
P01036,P07858
P01036,P02808
P01036,P04745
P01036,P15515
P01036,P04080
P23526,P35520
P23526,P32929
P23526,Q9H2M3
P23526,O43865
P23526,Q16773
P23526,Q6YP21
P23526,Q9BV19
P23526,Q00266
P23526,P34897
P23526,P31153
P23526,Q96GA7
P23526,Q6AI12
P23526,Q13228
P23526,P00813
P23526,P55263
P23526,Q14749
P23526,P34896
P23526,P42127
P23526,Q9BY32
P23526,P11586
O14734,P22307
O14734,Q16836
O14734,P50542
O14734,Q9Y2S2
O14734,P51659
O14734,Q07869
O14734,Q15067
O14734,Q9NPJ3
Q9HDC9,P19387
Q9HDC9,O15160
O43396,P55036
O43396,O14683
O43396,Q9UMS0
O43396,Q92905
O43396,P17980
O43396,P04745
O43396,P54578
O43396,P04746
O43396,Q16186
P51553,O75874
P51553,P21399
P51553,P49448
P51553,P00367
P51553,P36957
P51553,P09622
P51553,P00505
P51553,P35914
P51553,O75390
P51553,P04424
P51553,Q8TD30
P51553,P51649
P51553,P17174
P51553,P24298
P51553,P30566
P51553,Q9NQR4
P51553,P40926
P51553,P11177
P51553,Q96RQ9
P51553,P07954
O75832,P17980
O75832,P62195
O75832,O00231
O75832,Q15008
O75832,P55036
O75832,Q9Y5K5
O75832,P51665
O75832,Q00987
O75832,Q16186
O75832,O00233
O75832,P54578
O75832,Q16401
O75832,P04637
O75832,Q53HC0
O75832,P06400
O75832,P49715
O75832,O00221
O00264,O15503
O00264,P06401
O00264,P00167
O00264,P00533
Q9NPJ8,Q9UBU9
Q9NPJ8,P61970
Q9NPJ8,Q9UKK6
Q9NPJ8,Q9UJ90
Q9UN42,P54710
Q9UN42,P05026
Q9UN42,P54709
Q9UN42,Q13976
Q9UN42,P14415
Q9UN42,P27361
Q9UN42,P28482
O60829,P05412
P00740,P01008
P00740,P00451
P00740,P13726
P00740,P08709
P00740,P03951
P00740,P00742
P00740,P00734
P00740,P04275
P00740,P09958
P00740,Q8NBI6
P00740,Q9BXR6
P00740,P01042
P00740,P12259
P00740,P11226
P00740,P10646
P00740,P02768
P00740,P04070
P00740,P03952
Q9UHG2,P16870
Q9UHG2,P29120
Q9UHG2,P01189
Q9UHG2,P05060
O75695,P36405
O75695,A6NIH7
P51784,P25963
P51784,P04637
P51784,Q13107
P51784,P23588
P51784,Q15170
P51784,Q9H3H9
P51784,Q9Y4E8
P51784,Q06609
P51784,Q96G74
P01033,P14780
P01033,P08254
P01033,P50281
P01033,P03956
P01033,P08962
P01033,P08253
P01033,P09238
P01033,P22301
P01033,P02751
P01033,P05231
P01033,P09237
P01033,P39900
P01033,P16070
P01033,P45452
P01033,P01137
P01033,P19438
P01033,P13500
P01033,P80188
P01033,P02452
P01033,P05121
P06280,P16278
P06280,P15289
P06280,Q9NPC4
P06280,P10253
P06280,P07686
P06280,P06865
P06280,Q99519
P06280,P09848
P06280,Q99999
P06280,P15121
P06280,O60218
P06280,Q9UBX8
P06280,P04062
P06280,Q13510
P06280,P07602
P06280,P98164
P06280,P15813
P06280,O00462
P06280,P17405
P13686,O14788
P13686,O95644
P13686,P43235
P13686,Q969G6
P13686,P30043
P13686,O14638
P13686,P02818
P13686,P30988
P13686,P01270
P13686,Q8IYS5
P13686,O00300
P13686,Q9BQG2
P13686,P14780
P13686,P09603
P13686,Q9BQB4
P13686,Q6ZNF0
P13686,P10451
Q6UX06,P22894
Q6UX06,P80188
Q6UX06,Q12864
Q6UX06,O75473
Q6UX06,P02788
Q6UX06,P31997
Q6UX06,P10645
O14978,Q13263
P08253,P16035
P08253,P50281
P08253,P01033
P08253,P35625
P08253,P07996
P08253,P12931
P08253,P16070
P08253,Q99727
P08253,P01137
P08253,P09237
P08253,P39060
P08253,P05305
P08253,P01023
P08253,Q99075
P08253,P21815
P08253,P03956
P08253,P14598
P08253,P14780
P08253,P19878
P08253,P40763
Q9Y5N6,Q14566
Q9Y5N6,O75496
Q9Y5N6,P49642
Q9Y5N6,P14635
Q9Y5N6,P56282
Q9Y5N6,O14757
Q9Y5N6,P20248
Q9Y5N6,Q9BWE0
P61970,P62826
P61970,Q9UKK6
P61970,Q9UBU9
P61970,Q9NPJ8
P61970,P46060
P61970,P43487
P61970,Q13283
P61970,P52948
P61970,Q14974
P61970,Q8NFH5
P23435,O43424
P23435,"ENSP
9606.ENSP00000385142    P58400
9606.ENSP00000385142    Q9ULB1
Name: UniProt, dtype: object"
P23435,P58401
P23435,P00367
P23435,O43300
Q9Y2Y0,P36404
Q9Y2Y0,P36405
O00626,P10720
O00626,Q16627
O00626,Q92583
O00626,P02778
O00626,Q99731
O00626,P13501
O00626,P09341
O00626,P13500
O00626,P22301
O00626,P10145
O00626,P78423
O00626,P42830
O00626,Q9BZS1
O00626,P51671
O00626,P19875
O00626,Q07325
O00626,P35225
O00626,P05112
O00626,P78556
O00626,P22362
Q02127,P49915
Q02127,Q7L1T6
Q02127,Q9UHQ9
Q02127,Q6BCY4
Q02127,P00387
Q02127,P00374
Q02127,P19971
Q02127,Q15726
Q02127,P21589
Q02127,Q14117
Q02127,Q16831
Q02127,O95045
Q02127,Q9NV35
Q02127,Q9BPU6
Q02127,Q14194
Q02127,P17812
Q02127,Q16555
Q02127,Q14195
Q02127,O14531
Q02127,P12268
Q92583,P13501
Q92583,O15444
Q92583,O00585
Q92583,Q6UXB2
Q92583,Q9Y258
Q92583,P02776
Q92583,O95715
Q92583,Q9NRJ3
Q92583,O00626
Q92583,P35225
Q92583,P22362
Q92583,P02778
Q92583,P42830
Q92583,O00175
Q92583,Q969D9
Q92583,P10145
Q92583,P78423
Q92583,Q99731
Q92583,Q9Y4X3
Q92583,P09341
P19387,P53803
P19387,P19388
P19387,P61218
P19387,P52435
P19387,P36954
P19387,P13984
P19387,Q00403
P19387,Q68E01
P19387,P23193
P19387,Q9BTT4
P19387,P29084
P19387,P29083
P19387,Q92541
P19387,P23396
P19387,P20226
P19387,P0CAP2
P19387,Q9GZM3
P19387,P51948
P19387,Q15648
P19387,P52657
Q9BQ65,Q9UMS4
Q9BQ65,Q9UNP9
Q9BQ65,O95926
P51665,Q16186
P51665,P25786
P51665,Q9Y5K5
P51665,Q99436
P51665,Q15008
P51665,P28070
P51665,P55036
P51665,P25787
P51665,P54578
P51665,O00231
P51665,P17980
P51665,P62195
P51665,P25788
P51665,P49720
P51665,P49721
P51665,P28066
P51665,P25789
P51665,Q16401
P51665,P20618
P51665,P60900
P29372,P27695
P29372,P16455
P29372,O15527
P29372,P02008
P29372,P18887
P29372,O95163
P29372,P13051
P29372,Q969S2
P49815,Q9NX09
P49815,P49841
P49815,P31749
P49815,Q15418
P49815,Q05086
P49815,P31751
P49815,Q9Y243
P49815,P31946
P49815,P51812
P49815,P27361
P49815,P63104
P49815,P23443
P49815,P28482
P49815,O14920
P49815,P20936
P49815,Q9UK32
P49815,Q9UBS0
P49815,P60484
P49815,Q9HB90
P49815,O15530
O00746,P15531
O00746,P23919
O00746,Q9BY32
O00746,Q16774
O00746,P22392
O00746,P17812
O00746,P27144
O00746,P33316
O00746,O14638
O00746,Q9Y5B8
O00746,P54819
O00746,P14618
O00746,Q9H773
O00746,P30613
O00746,P50583
O00746,Q96DE0
O00746,Q9Y5L3
O00746,P12532
O00746,P30793
O00746,P23921
Q9NUI1,P51659
Q9NUI1,Q15067
Q9NUI1,P50542
Q9NUI1,P22307
Q9UNE7,P11142
Q9UNE7,P51668
Q9UNE7,P07900
Q9UNE7,P08238
Q9UNE7,O95817
Q9UNE7,P61088
Q9UNE7,O95816
Q9UNE7,Q13404
Q9UNE7,P61077
Q9UNE7,P62837
Q9UNE7,P54252
Q9UNE7,P04626
Q9UNE7,P25685
Q9UNE7,P84022
Q9UNE7,"ENSP
9606.ENSP00000364801    P0DMV8
9606.ENSP00000364801    P0DMV9
Name: UniProt, dtype: object"
Q9UNE7,P13569
Q9UNE7,P04637
Q9UNE7,Q99933
Q9UNE7,Q9NZL4
Q9UNE7,O60260
O15405,P33241
O15405,P21802
P56270,Q14807
P56270,Q01844
P56270,Q12830
P56270,P01106
P56270,P05412
Q8IWI9,P61244
Q8IWI9,P61964
Q8IWI9,Q969R5
Q8IWI9,Q15291
Q8IWI9,Q9Y265
Q8IWI9,Q8IXM2
Q8IWI9,Q8N488
Q8IWI9,Q13185
P41240,P12931
P41240,P07948
P41240,P29353
P41240,P00533
P41240,P06239
P41240,Q99704
P41240,P06241
P41240,Q8NHL6
P41240,P22681
P41240,P46108
P41240,P18206
P41240,Q06124
P41240,P20963
P41240,P62993
P41240,P49407
P41240,P07766
P41240,Q6UWF3
P41240,O60496
P41240,Q6GTX8
P41240,P29350
P09668,P10415
P09668,Q07817
P09668,P55957
P09668,P07339
P09668,Q99538
P09668,P04080
P09668,P07988
Q9H223,Q8N3F8
Q9H223,Q9H4M9
Q06547,Q00059
Q06547,Q9UBK2
Q06547,Q8WVM0
Q06547,P42575
Q06547,P07858
Q06547,Q9H3D4
Q06547,Q8N488
Q06547,P25490
Q06547,Q9H5Q4
Q06547,O43399
Q06547,Q04837
Q8WXD2,P10645
Q8WXD2,P05060
Q8WXD2,P05408
Q8WXD2,P16870
Q8WXD2,P01189
Q9UKV8,P26196
Q9UKV8,Q08211
Q9UKV8,Q9UL18
Q9UKV8,Q15633
Q9UKV8,Q06787
Q9UKV8,Q9UPQ9
Q9UKV8,P07900
Q9UKV8,Q15717
Q9UKV8,Q9H9G7
Q9UKV8,P51114
Q9UKV8,P06748
Q9UKV8,P08238
Q9UKV8,P06730
Q9UKV8,Q9HAV4
Q9UKV8,Q9BWF3
Q9UKV8,O75569
Q9UKV8,P00533
Q9UKV8,Q15631
Q9UKV8,Q09161
Q9UKV8,Q7KZF4
P01266,P07202
P01266,P02144
P01266,P16473
P01266,Q92911
P01266,P98164
P01266,P07306
P01266,Q06710
P01266,P02768
P01266,P07307
P01266,A1KZ92
P01266,P15056
P01266,Q92626
P01266,P20396
P01266,P24298
P01266,Q08629
P01266,P09758
P01266,P14625
P01266,P02794
P01266,P13667
P01266,P35030
Q8TCF1,P55072
O43353,Q13490
O43353,P08138
O43353,Q9Y6K9
O43353,Q13489
O43353,Q9H257
O43353,P21580
O43353,Q96EP0
O43353,Q92974
O43353,O14920
O43353,P07900
O43353,Q9H0F6
O43353,P45983
O43353,P08238
O43353,P45984
O43353,P14625
O43353,Q16539
O43353,O60603
O43353,O15519
O43353,P19838
O43353,O00206
Q16698,P05937
Q16698,O95997
Q16698,P43166
Q16698,P11310
Q16698,P42126
Q16698,Q9P0J1
Q16698,P04406
Q16698,P51659
Q8N474,P41221
Q8N474,P56704
Q8N474,Q14332
Q8N474,O00755
Q8N474,O14788
Q8N474,Q9Y5W5
Q8N474,Q9H1J7
Q8N474,O75197
Q8N474,Q9UBV4
Q8N474,O75581
Q8N474,O94907
Q8N474,O96014
Q8N474,P35222
Q8N474,O00744
Q8N474,Q9GZT5
Q8N474,Q9UBU2
Q8N474,Q9UBP4
Q8N474,Q9UBT3
Q8N474,O75084
Q8N474,Q9H461
P00750,P05121
P00750,P00747
P00750,P07355
P00750,P05120
P00750,P60903
P00750,Q07954
P00750,P08697
P00750,P01730
P00750,P04275
P00750,P13726
P00750,Q96IY4
P00750,P01008
P00750,P14780
P00750,P04004
P00750,P07093
P00750,P02751
P00750,Q03405
P00750,P08254
P00750,P00749
P00750,P36955
Q9UBT3,O75197
Q9UBT3,O75581
Q9UBT3,Q96MU8
Q9UBT3,O94907
Q9UBT3,Q9UBU2
Q9UBT3,P56704
Q9UBT3,Q8NCW0
Q9UBT3,O00744
Q9UBT3,P41221
Q9UBT3,Q92765
